idx,code,pos,school,rom_n,rom_c,rom_f,mat_n,mat_c,mat_f,mat_lang,mat_lang_n,mat_lang_c,mat_lang_f,media
1192,SB9843510,1192,ŞCOALA GIMNAZIALĂ LOAMNEŞ,8.15,-,-,7.25,-,-,-,-,-,-,7.70
1193,SB14675303,1193,ŞCOALA GIMNAZIALĂ NR. 7 MEDIAŞ,8.10,-,-,7.30,-,-,-,-,-,-,7.70
1194,SB11073806,1194,ŞCOALA GIMNAZIALĂ NR. 18 SIBIU,8.05,-,-,7.35,-,-,-,-,-,-,7.70
1195,SB10585146,1195,"ŞCOALA GIMNAZIALĂ ""MIHAI EMINESCU"" MEDIAŞ",7.95,-,-,7.45,-,-,-,-,-,-,7.70
1196,SB10322051,1196,"ŞCOALA GIMNAZIALĂ ""MIHAI EMINESCU"" MEDIAŞ",7.75,-,-,7.65,-,-,-,-,-,-,7.70
1197,SB9626770,1197,"ŞCOALA GIMNAZIALĂ ""VIOREL CUCU PALTIN"" ARPAȘU DE JOS",7.70,-,-,7.70,-,-,-,-,-,-,7.70
1198,SB10352091,1198,"COLEGIUL NAȚIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",7.65,7.60,7.60,6.85,6.90,6.90,Limba germana,8.85,8.60,8.60,7.70
1199,SB8994812,1199,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",7.45,-,-,7.95,-,-,-,-,-,-,7.70
1200,SB10126035,1200,ŞCOALA GIMNAZIALĂ NR. 18 SIBIU,6.80,-,-,8.60,-,-,-,-,-,-,7.70
1201,SB9901405,1201,"ŞCOALA GIMNAZIALĂ ""ION POP RETEGANUL"" ORLAT",6.20,7.00,7.00,8.40,-,-,-,-,-,-,7.70
1202,SB10313843,1202,"LICEUL TEORETIC ""ROTH - OBERTH"" MEDIAŞ",9.00,-,-,5.10,-,-,Limba germana,8.95,-,-,7.68
1203,SB9593800,1203,ŞCOALA GIMNAZIALĂ NR. 4 SIBIU,8.10,-,-,7.95,-,-,Limba germana,7.40,7.00,7.00,7.68
1204,SB11076342,1204,ŞCOALA GIMNAZIALĂ NR. 4 SIBIU,7.35,7.80,7.80,7.80,-,-,Limba germana,7.60,7.45,7.45,7.68
1205,SB10566543,1205,"COLEGIUL NAȚIONAL PEDAGOGIC ""ANDREI ŞAGUNA"" SIBIU",8.95,-,-,6.40,-,-,-,-,-,-,7.67
1206,SB7862509,1206,ŞCOALA GIMNAZIALĂ NR. 7 MEDIAŞ,8.75,-,-,6.60,-,-,-,-,-,-,7.67
